Execution time: 32.27 seconds, Arguments: ['0', '2']
Execution time: 41.81 seconds, Arguments: ['1', '25']
Execution time: 31.58 seconds, Arguments: ['1', '2']
Execution time: 43.96 seconds, Arguments: ['1', '50']
Execution time: 39.57 seconds, Arguments: ['0', '15']
Execution time: 21.53 seconds, Arguments: ['1', '15']
Execution time: 34.98 seconds, Arguments: ['0', '15']
Execution time: 36.02 seconds, Arguments: ['0', '15']
Execution time: 34.90 seconds, Arguments: ['0', '15']
Execution time: 41.59 seconds, Arguments: ['0', '15']
Execution time: 41.28 seconds, Arguments: ['0', '15']
Execution time: 35.66 seconds, Arguments: ['0', '15']
Execution time: 38.56 seconds, Arguments: ['0', '15']
Execution time: 30.28 seconds, Arguments: ['0', '15']
